epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.23496,0.92215,0.63636,1,0.6833,3.57e-05,3.57e-05,3.57e-05
2,4.75889,0.81971,0.54545,1,0.66067,7.77625e-05,7.77625e-05,7.77625e-05
3,5.97052,0.74143,0.72727,1,0.6414,0.000118977,0.000118977,0.000118977
4,7.10549,0.62396,0.63636,1,0.62948,0.000159343,0.000159343,0.000159343
5,8.27091,0.64915,0.63636,1,0.62044,0.00019886,0.00019886,0.00019886
6,9.41323,0.45084,0.63636,1,0.60136,0.00023753,0.00023753,0.00023753
7,10.5677,0.59274,0.63636,1,0.59365,0.000275351,0.000275351,0.000275351
8,11.6931,0.46566,0.63636,1,0.605,0.000312324,0.000312324,0.000312324
9,12.8173,0.45476,0.63636,1,0.59834,0.000348449,0.000348449,0.000348449
10,13.9227,0.41981,0.63636,1,0.59341,0.000383726,0.000383726,0.000383726
11,15.0376,0.44893,0.63636,1,0.58898,0.000418154,0.000418154,0.000418154
12,16.1517,0.43507,0.63636,1,0.59528,0.000451734,0.000451734,0.000451734
13,17.2707,0.29842,0.72727,1,0.58563,0.000484466,0.000484466,0.000484466
14,18.3817,0.32717,0.72727,1,0.5669,0.00051635,0.00051635,0.00051635
15,19.4591,0.44311,0.63636,1,0.55198,0.000547385,0.000547385,0.000547385
16,20.5798,0.43928,0.72727,1,0.56294,0.000577572,0.000577572,0.000577572
17,21.6673,0.36531,0.72727,1,0.5434,0.000600902,0.000600902,0.000600902
18,22.7794,0.32443,0.81818,1,0.52527,0.000593834,0.000593834,0.000593834
19,23.8733,0.49703,0.81818,1,0.51794,0.000586765,0.000586765,0.000586765
20,24.9928,0.28871,0.81818,1,0.50959,0.000579697,0.000579697,0.000579697
21,26.0924,0.19322,0.81818,1,0.50073,0.000572628,0.000572628,0.000572628
22,27.2083,0.31725,0.81818,1,0.48508,0.000565559,0.000565559,0.000565559
23,28.3001,0.32504,0.81818,1,0.48412,0.000558491,0.000558491,0.000558491
24,29.4095,0.39424,0.81818,1,0.50552,0.000551422,0.000551422,0.000551422
25,30.5291,0.26318,0.72727,1,0.51824,0.000544354,0.000544354,0.000544354
26,31.6498,0.34221,0.81818,1,0.55201,0.000537285,0.000537285,0.000537285
27,32.7285,0.16353,0.81818,1,0.53064,0.000530216,0.000530216,0.000530216
28,33.8334,0.41931,0.81818,1,0.48718,0.000523148,0.000523148,0.000523148
29,34.91,0.43852,0.81818,1,0.48643,0.000516079,0.000516079,0.000516079
30,36.0245,0.22194,0.81818,1,0.48962,0.000509011,0.000509011,0.000509011
31,37.1182,0.21589,0.81818,1,0.47479,0.000501942,0.000501942,0.000501942
32,38.2345,0.24129,0.81818,1,0.50373,0.000494873,0.000494873,0.000494873
