epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.21324,0.92215,0.63636,1,0.6833,3.57e-05,3.57e-05,3.57e-05
2,2.7693,0.81971,0.54545,1,0.66067,7.77625e-05,7.77625e-05,7.77625e-05
3,3.99534,0.74143,0.72727,1,0.6414,0.000118977,0.000118977,0.000118977
4,5.13107,0.62396,0.63636,1,0.62948,0.000159343,0.000159343,0.000159343
5,6.31031,0.64915,0.63636,1,0.62044,0.00019886,0.00019886,0.00019886
6,7.46285,0.45084,0.63636,1,0.60136,0.00023753,0.00023753,0.00023753
7,8.68451,0.59274,0.63636,1,0.59365,0.000275351,0.000275351,0.000275351
8,9.82766,0.46566,0.63636,1,0.605,0.000312324,0.000312324,0.000312324
9,10.9665,0.45476,0.63636,1,0.59834,0.000348449,0.000348449,0.000348449
10,12.0784,0.41981,0.63636,1,0.59341,0.000383726,0.000383726,0.000383726
11,13.467,0.44893,0.63636,1,0.58898,0.000418154,0.000418154,0.000418154
12,14.8295,0.43507,0.63636,1,0.59528,0.000451734,0.000451734,0.000451734
13,16.1757,0.29842,0.72727,1,0.58563,0.000484466,0.000484466,0.000484466
14,17.5419,0.32717,0.72727,1,0.5669,0.00051635,0.00051635,0.00051635
15,18.9572,0.44311,0.63636,1,0.55198,0.000547385,0.000547385,0.000547385
16,20.278,0.43928,0.72727,1,0.56294,0.000577572,0.000577572,0.000577572
17,21.5863,0.36531,0.72727,1,0.5434,0.000600902,0.000600902,0.000600902
18,22.8949,0.32443,0.81818,1,0.52527,0.000593834,0.000593834,0.000593834
19,24.239,0.49703,0.81818,1,0.51794,0.000586765,0.000586765,0.000586765
20,25.5438,0.28871,0.81818,1,0.50959,0.000579697,0.000579697,0.000579697
21,26.8462,0.19322,0.81818,1,0.50073,0.000572628,0.000572628,0.000572628
22,28.2134,0.31725,0.81818,1,0.48508,0.000565559,0.000565559,0.000565559
23,29.5598,0.32504,0.81818,1,0.48412,0.000558491,0.000558491,0.000558491
24,30.8552,0.39424,0.81818,1,0.50552,0.000551422,0.000551422,0.000551422
25,32.1537,0.26318,0.72727,1,0.51824,0.000544354,0.000544354,0.000544354
26,33.4534,0.34221,0.81818,1,0.55201,0.000537285,0.000537285,0.000537285
27,34.7605,0.16353,0.81818,1,0.53064,0.000530216,0.000530216,0.000530216
28,36.0731,0.41931,0.81818,1,0.48718,0.000523148,0.000523148,0.000523148
29,37.3883,0.43852,0.81818,1,0.48643,0.000516079,0.000516079,0.000516079
30,38.7438,0.22194,0.81818,1,0.48962,0.000509011,0.000509011,0.000509011
31,40.1134,0.21589,0.81818,1,0.47479,0.000501942,0.000501942,0.000501942
32,41.4321,0.24129,0.81818,1,0.50373,0.000494873,0.000494873,0.000494873
33,42.7088,0.18508,0.81818,1,0.50268,0.000487805,0.000487805,0.000487805
34,44.0854,0.35676,0.72727,1,0.5209,0.000480736,0.000480736,0.000480736
35,45.3628,0.19586,0.81818,1,0.51945,0.000473668,0.000473668,0.000473668
36,46.6799,0.38539,0.72727,1,0.54979,0.000466599,0.000466599,0.000466599
37,47.9657,0.2534,0.81818,1,0.54934,0.00045953,0.00045953,0.00045953
38,49.3524,0.22769,0.72727,1,0.56123,0.000452462,0.000452462,0.000452462
39,50.6291,0.1711,0.72727,1,0.54757,0.000445393,0.000445393,0.000445393
40,51.931,0.13794,0.72727,1,0.55219,0.000438325,0.000438325,0.000438325
41,53.2045,0.30924,0.72727,1,0.54611,0.000431256,0.000431256,0.000431256
42,54.6003,0.25213,0.72727,1,0.53516,0.000424187,0.000424187,0.000424187
43,55.9,0.14892,0.72727,1,0.52267,0.000417119,0.000417119,0.000417119
