epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1549,0.8783,3.56367,1.17661,0.03317,0.51177,0.1568,0.12215,0.75624,3.57344,1.04045,0.00013635,0.00013635,0.00013635
2,146.91,0.80739,2.5123,1.10765,0.03714,0.69519,0.15787,0.12071,0.81936,3.33396,1.07492,0.000253893,0.000253893,0.000253893
3,249.809,0.77029,2.06064,1.10373,0.80198,0.14282,0.22641,0.17607,0.84213,2.88149,1.1193,0.000342638,0.000342638,0.000342638
4,324.519,0.77555,1.69399,1.08402,0.84713,0.17465,0.32172,0.23952,0.90338,2.75321,1.13697,0.000402587,0.000402587,0.000402587
5,398.885,0.75439,1.55756,1.07192,0.79812,0.25931,0.33946,0.26157,0.86076,2.57009,1.1362,0.000433738,0.000433738,0.000433738
6,475.763,0.71778,1.39442,1.0739,0.81357,0.4081,0.44533,0.34472,0.82183,2.03805,1.13278,0.000436093,0.000436093,0.000436093
7,550.233,0.72003,1.34049,1.05223,0.7184,0.42437,0.57299,0.44584,0.86251,2.03699,1.17332,0.000369054,0.000369054,0.000369054
8,625.467,0.63909,1.28154,0.99917,0.73675,0.53943,0.56384,0.45063,0.87912,1.88382,1.1925,0.000279063,0.000279063,0.000279063
9,699.935,0.64482,1.22598,1.01595,0.70577,0.54242,0.57034,0.47184,0.78728,1.75119,1.12409,0.000189072,0.000189072,0.000189072
10,774.621,0.62629,1.18332,1.01233,0.84312,0.54285,0.5776,0.47277,0.78997,1.75011,1.12604,9.9081e-05,9.9081e-05,9.9081e-05
